CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Almir Sater;4379;UM VIOLEIRO TOCA;Quando uma estrela cai na escuridão da;4C;;
Alphaville;2577;FOREVER YOUNG;Let's dance in style let's dance for ;INT04B;;
Alphaville ;9245;BIG IN JAPAN ; Winter's cityside ;INT02, A45;;
Altemar Dutra;9349;TUDO DE MIM;De que é feito afinal esse seu coraç;12E;;
Altemar Dutra;1610;MURMURA AO MAR;Murmura o mar a derramar uma canção;18D;;
Altemar Dutra;3540;SENTIMENTAL DEMAIS;Sentimental eu sou, eu sou demais;1J;;
Altemar Dutra;16090;COMO DESEJO TEU AMOR;Como desejo teu amor quando me lembro;29D;;
Altemar Dutra;3872;ESTÃO VOLTANDO AS FLORES;Vê...estão voltando as flores vê;2G;;
Altemar Dutra;3926;O TROVADOR;Sonhei que eu era um dia um;2H;;
Altemar Dutra;4067;BRIGAS;Veja só que tolice nós dois;3D;;
Altemar Dutra;4130;QUE QUERES TU DE MIM;Que queres tú de mim?;3E;;
Altemar Dutra;4465;BALADA TRISTE;Balada triste que me faz lembrar alguém...;4F;;
Altemar Dutra;6277;SOMOS IGUAIS;Acabei de saber que você riu de mim…;5E;;
Altemar Dutra;6422;MEU VELHO (MI VIEJO);É um bom tipo meu velho e anda só…;6A;;
Altemar Dutra;6496;MARIA HELENA;Maria Helena és tu a minha inspiração…;6C;;
Altemar Dutra;6608;CONTIGO APRENDI;Contigo aprendi…;6F;;
Altemar Dutra;7045;A PRETENDIDA;Reclamas que te faltam meus carinhos;9A;;
Altemar Dutra;7268;VAI ANDORINHA;Ao ver passar no céu as andorinhas;9A;;
Altemar Dutra;7072;BLOCO DA SOLIDÃO;Angústia solidão um triste adeus;9B;;
Altemar Dutra;7181;MODINHA;Olho a rosa na janela sonho um sonho;9B;;
Altemar Dutra;7128;EU SONHEI QUE TU ESTAVAS TÃO LINDA;Eu sonhei que tu estavas tão linda;9F;;
Altemar Dutra - Martha Mendonça;1800;VELHA COMPANHEIRA;Não tenho ódio dentro do meu peito ;19D;;
Álvaro e Daniel;1505;AQUI É O SEU LUGAR;É pra você;18A;;
Alvaro Tito;5557;NÃO CHORE;Tua vida em perigo, se envolver;EVAN101;;
Alvim and The Chipmunks;5883;CHRISTMAS DON'T BE LATE;Christmas Christmas time is near;INT03, USA3D;;
Amado Batista;7496;AMANTES;Já amanheceu;11A;;
Amado Batista;7583;DESISTO;Rosto que beijei corpo que abracei;11E;;
Amado Batista;7656;O PRÍNCIPE;Eu não esqueço;11E;;
Amado Batista;9355;VÁ EMBORA;Vá embora do meu mundo;12A;;
Amado Batista;9417;CHUVA DE VENTO;Vento que venta lá fora leva esta sau;13B;;
Amado Batista;9880;SERESTEIRO DAS NOITES;Existem momentos na vida que lembramo;14A;;
Amado Batista;9632;CARTA SOBRE A MESA;Deixe-me renascer viver e crescer;14C;;
Amado Batista;9677;EU QUERO É NAMORAR;Eu pensei;14C;;
Amado Batista;9604;AMIGO FORTE;Como é linda a vida quando vivida;14E;;
Amado Batista;1683;AMOR MEU LOUCO AMOR;Além do teu olhar o que mais pode ;19B;;
Amado Batista;1921;NÃO QUERO FALAR COM ELA;Se ela ligar outra vez;20D;;
Amado Batista;2811;MUITOS COMPROMISSOS;Quanto tempo você vai chorar por mim;22A;;
Amado Batista;15268;QUEM É VOCÊ;Quem é você que me escreve cartas de amor;24C;;
Amado Batista;15412;IMPÉRIO DOS SENTIDOS;Eu venho num sonho bonito das cores;25C;;
Amado Batista;15562;AGORA OU NUNCA MAIS;Sou um amor passageiro que está;26C;;
Amado Batista;15633;TRAVESSEIRO AZUL;Tanto faz se é noite ou dia uma luz me;26D;;
Amado Batista;3856;PRINCESA;Ao te ver pela primeira vez;2F;;
Amado Batista;16141;O NEGÓCIO DA CHINA;Eu vou levar você pra comer no meu apê;30A;;
Amado Batista;4060;24 HORAS NO AR;Pare de pensar em besteira;3C;;
Amado Batista;4230;COMO NA PRIMEIRA VEZ;Quando o amor nos acontece;3H;;
Amado Batista;4327;O POBRETÃO;Que pena que eu não posso ser...;4B;;
Amado Batista;6353;SECRETÁRIA (ASSÉDIO SEXUAL);Ela chega tão meiga e tão bela...;5G;;
Amado Batista;6625;O FRUTO DO NOSSO AMOR (AMOR PERFEITO);Amor perfeito existia entre nós dois…;6F;;
Amado Batista;6941;MEU EX-AMOR;Eu tive um amor amor tão bonito…;8A;;
Amado Batista;6975;RECLAMANDO SUA AUSÊNCIA;Eu sei Foi o amor que fez…;8A;;
Amado Batista;7129;EU SOU SEU FÃ;Quando você me quiser quando resolver;9A;;
Amane Kaoru;18279;TAIYOH NO UTA;Furuete iru watashi no te ni hajimete;JP6B;;
Amelinha;9288;MULHER NOVA, BONITA E CARINHOSA;Numa luta de gregos e troianos;12B;;
Amelinha;3796;FREVO MULHER;Quantos aqui ouvem, os olhos;2E;;
Amelinha;3876;FOI DEUS QUEM FEZ VOCÊ;Foi Deus que fez o céu o rancho das;2G;;
America;9083;A HORSE WITH NO NAME;On the first part of the journey….;INT02, 8E;;
America;5997;VENTURA HIGHWAY;Chewing on a piece of grass;INT03, USA3B;;
America;5935;LONELY PEOPLE;This is for all the lonely people;INT03, USA3C;;
America;5918;I NEED YOU;We used to laugh we used to cry;INT03, USA3D;;
America;2558;TIN MAN;Sometimes late when things are real;INT04B;;
America;2630;SISTER GOLDEN HAIR;Well I tried to make it Sunday;INT04D;;
Ami Suzuki;5658;ALONE IN MY ROOM;Tanoshii kamo ne sou iu hitori...;JP3;;
Amii Stewart;4929;KNOCK ON WOOD;I don't want to lose you...;INT01, USA2B;;
Amin;2223;MATSU WA;Kawaii furi shite ano ko wari to yaru ;JP5A;;
Amuro Namie;5294;STOP THE MUSIC;Take a brake...;JP1;;
Amuro Namie;5300;TRY ME (WATASHI O SHINDITE);Dyuwaki no mukou anantano koe...;JP1;;
Amuro Namie;5340;CAN YOU CELEBRATE;Can you celebrate? can you kiss me…;JP2;;
Amuro Namie;5341;CHASE THE CHANCE;Sonna jyanaiyo tanoshii dake…;JP2;;
Amuro Namie;5711;I HAVE NEVER SEEN;Hajimete no kissu no koto...;JP3;;
Amuro Namie;5766;NEVER END;Tooi mirai datta tooi kuni datta...;JP3;;
Amuro Namie;5798;SAY THE WORD;Eien ni tsuzuku michi touku hatesh...;JP3;;
Amuro Namie;5820;THINK OF ME;Wakari aeru mainichi ni...;JP3;;
Amuro Namie;5838;WISHING ON THE SAME STAR;Kokoro kara anata o omou...;JP3;;
Amuro Namie;18536;FIGHT TOGETHER;Yoga akeru mae ni tabidato mada minu;JP8A;;
Amy Grant;19384;I'LL BE HOME FOR CHRISTMAS;I'm dreaming tonight of a place I love;INT07B;;
Amy Winehouse;5959;REHAB;They tried to make me go to rehab;INT03, USA3D;;
Amy Winehouse;5985;TEARS DRY ON THEIR OWN;All I can ever be to you;INT03, USA3D;;
Amy Winehouse;2541;BACK TO BLACK;He left no time to regret;INT04B;;
Amy Winehouse;2546;LOVE IS A LOSING GAME;For you I was the flame;INT04B;;
Amy Winehouse;2550;YOU KNOW I'M NO GOOD;Meet you downstairs in the bar and heard;INT04B;;
Amy Winehouse;19596;VALERIE;Well sometimes I go out by myself;INT08C;;
An Cafe;18425;NATSU KOI NATSU GAME;Ageru kisetsuga yahte kita karadajuh ga;JP7B;;
An Ri;2379;OLIVIA O KIKINAGARA;Oki ni iri no uta hitori kiite miru no;JP5E;;
Ana Canãs;1552;ESCONDERIJO;Procuro a solidão como o ar procura;18B;;
Ana Cañas;1981;A ANA;Ahn ahn ahn ahn;21A;;
Ana Cañas;15272;SERÁ QUE VOCÊ ME AMA?;Tudo do avesso tudo certo tudo no começo;24C;;
Ana Cañas;15885;TE VER FELIZ;Na nara na... Eu não tenho uma letra ;28C;;
Ana Carolina;7348;ELEVADOR (LIVRO DE ESQUECIMENTO);Pra que te espero de braços abertos;10C;;
Ana Carolina;7629;MAIS QUE ISSO;Eu não vou gostar de você;11D;;
Ana Carolina;7694;ROSAS;Você pode me ver do jeito que quiser;11E;;
Ana Carolina;7891;A CANÇÃO TOCOU NA HORA ERRADA;A canção tocou na hora errada;12A;;
Ana Carolina;7975;HOJE EU TÔ SOZINHA;Hoje eu tô sozinha e não aceito cons;12A;;
Ana Carolina;7921;CARVÃO;Surgiu como um clarão;12D;;
Ana Carolina;7932;CONFESSO;Confesso acordei achando tudo indife;12D;;
Ana Carolina;9334;RUAS DE OUTONO;Nas ruas de outono;12E;;
Ana Carolina;9488;NADA PRA MIM;Eu não vim aqui pra entender ou expli;13B;;
Ana Carolina;9393;AQUI;Aqui;13C;;
Ana Carolina;9443;É MÁGOA;É mágoa;13D;;
Ana Carolina;9521;QUE SE DANEM OS NÓS;Vim gastando meus sapatos;13D;;
Ana Carolina;9676;EU QUE NÃO SEI QUASE NADA DO MAR;Garimpeira da beleza;14B;;
Ana Carolina;9898;TOLERÂNCIA;Como água no deserto;14D;;
Ana Carolina;1179;VAI;Espera aí;16A;;
Ana Carolina;1481;10 MINUTOS;Por que você não atende as minhas;18A;;
Ana Carolina;1654;DOIS BICUDOS;Quando te vi andava tão desprevenido;19A;;
Ana Carolina;2739;PROBLEMAS;Qualquer distância entre nós;21C;;
Ana Carolina;2818;TÁ RINDO, É?;Ah hoje eu quebrei o meu despertador;22A;;
Ana Carolina;2931;SIMPLESMENTE ACONTECEU;Simplesmente aconteceu;22D;;
Ana Carolina;15288;COMBUSTÍVEL;Fiz de você meu combustível meu ;24D;;
Ana Carolina;15701;LIBIDO;No anúncio da revista ou na obra de arte;27B;;
Ana Carolina;16025;COISAS;O meu corpo me deixa confusa quando o seu olhar;29B;;
Ana Carolina;4316;GARGANTA;Minha garganta estranha quando não te;4B;;
Ana Carolina;6109;QUEM DE NÓS DOIS;Eu e você não é assim tão complicado...;5A;;
Ana Carolina;6413;ELA É BAMBA;Ela é bamba ela é bamba ela é bamba…;6A;;
Ana Carolina;6694;ENCOSTAR NA TUA;Eu quero te roubar pra mim...;7B;;
Ana Carolina;6757;UMA LOUCA TEMPESTADE;Eu quero uma Lua plena eu quero...;7C;;
Ana Carolina;6827;NUA;Olho a cidade ao redor e nada me;7E;;
Ana Carolina;6870;PRA RUA ME LEVAR;Não vou viver...;7F;;
Ana Carolina - Chiara;15357;UN SUEÑO BAJO EL AGUA;Fios elétricos luvas;25A;;
Ana Carolina e John Legend;1671;ENTREOLHARES;Se ficar assim me olhando;19A;;
Ana Carolina e Maria Gadú;2692;MAIS QUE A MIM;Ouvi dizer que você tá bem que já tem;21B;;
Ana Carolina E Seu Jorge;7114;É ISSO AÍ;É isso aí...;9E;;
Ana e Mú;1708;QUANDO A GENTE AMA PRA VALER;Quando a gente ama não há nada que ;19B;;
Ana Paula Valadão;7855;PODER DO TEU AMOR;Senhor eis-me aqui vem transformar meu;EVB;;
Ana Vilela;16157;TREM-BALA;Não é sobre ter todas as pessoas do mundo;30A;;
Ana Vilela;16298;PROMETE ;Prometa que não vai crescer distante;31A;;
Anavitória;16086;AGORA EU QUERO IR;Encontrei descanso em você me arquitetei;29D;;
Anavitória;16149;SINGULAR;É tão singular o jeito que me observa acordar;30A;;
Anavitória;16219;DENGO;Ô dengo me fala tudo sobre o mundo;30C;;
Anavitória - Matheus e Kauan;16206;FICA;Mapeei a dedo tuas sardas;30C;;
Anavitória - Tiago Iorc;16169;TREVO (TU);Tu é trevo de quatro folhas;30B;;
Anderson Freire;16073;RARIDADE;Não consigo ir além do teu olhar;29C;;
Anderson Freire e Bruna Karla;2456;IDENTIDADE;Não vou negar quem sou não há máscara;EVAN04B;;
André Valadão;2427;PELA FÉ;Oh oh oh oh oh oh oh pela fé posso;EVAN04A;;
André Valadão;2470;SE EU ME HUMILHAR;Neste lugar Tu és real;EVAN04B;;
André Valadão;2480;VOU CRER;Colocar minha fé em Ti;EVAN04B;;
André Valadão;7780;EU E MINHA CASA;Quero consagrar meu lar a Ti;EVB;;
André Valadão;7800;MILAGRES;Posso crer que em minha vida;EVB;;
André Valadão;7796;MAIS QUE ABUNDANTE;Meu Deus é mais que abundante;EVC;;
Andrea Boccelli;4150;COM TE PARTIRO;Quando sono solo sogno all'orizzonte;3F;;
Andru Donalds;19395;SAVE ME NOW;Here I am in a place that I;INT07B;;
Andy Gibb;2525;I JUST WANT TO BE YOUR EVERYTHING;For so long;INT04A;;
Andy Williams;5988;THE IMPOSSIBLE DREAM;To dream the impossible dream;INT03, USA3D;;
Andy Williams;4581;HAWAIIAN WEDDING SONG;This is the moment I've waited for;USAA;;
Andy Williams;4595;MORE;More than the greatest love the world;USAE;;
Andy Williams;4539;MOON RIVER;Moon River wider than a mile;USAF;;
Andy Williams;4538;LOVE STORY;Where do I begin? To tell the;USAH;;
Angela Aki;2040;THIS LOVE;Ai ga areba heiwa da to;JP4A;;
Angela Aki;2360;TEGAMI ~ HAIKEI JUHGO NO KIMI E;Haikei kono tegami yonde iru anata wa;JP5D;;
Angela Aki;18211;KISS ME GOODBYE;Anata wa mayotte itemo door wa aite;JP6A;;
Angela Aki;18224;RAIN;Gohin ni susundeku jikan no;JP6A;;
Angela Aki;18296;KAGAYAKU HITO;Mune ni hoho o uzume naite ita ne ano hi;JP6C;;
Angela Aki;18358;WE'RE ALL ALONE;Kanashimi kara jibun o mamoru;JP6D;;
Angela Aki;18552;SAKURA IRO;Kawazoi ni saiteta sakura namiki o;JP8A;;
Angela Aki;18574;HOME;Sensai na ito de soboku na machi ni;JP8B;;
Ângela Maria;7966;FALHASTE CORAÇÃO;E tu que acreditavas mandar em todo;12B;;
Ângela Maria ;1276;TANGO PRA TEREZA ;Hoje alguém pôs a rodar um disco;16C;;
Ângela Maria e Emílio Santiago;1287;ESCUTA;Escuta;16D;;
Angela Rô Rô;15896;ESCÂNDALO;Mas doce irmã que que você quer mais;28C;;
Ângela Rô Rô;7447;SIMPLES CARINHO;Amar é sofrer eu vou te dizer;10B;;
Ângela Rô Rô;7321;COMPASSO;É o que pulsa o meu sangue quente;10C;;
Ângela Rô Rô;7570;CHANCE DE AMAR;Não é por sentir que te quero;11A;;
Ângela Rô Rô;1348;VICIEI EM VOCÊ;Eu não quero mais querer você;17A;;
Ângela Rô Rô;1420;TOLA FOI VOCÊ;Tola foi você ao me abandonar;17C;;
Ângela Rô Rô;6635;SÓ NOS RESTA VIVER;Dói em mim saber…;6F;;
Ângela Rô Rô;6891;AMOR, MEU GRANDE AMOR;Amor meu grande amor…;8B;;
Ângela Rô Rô - Paulinho Moska;16182;FELIZ DA VIDA;Sonho ou esperança encontrar alguém assim;30B;;
Ângela Valle E Paulo Sérgio Valle;7196;O CAFONA;Eu eu eu eu eu eu eu eu;9A;;
Angélica;1493;BLUE JEANS;Vocês não vão acreditar;18A;;
Angélica;1621;PRIMEIRO AMOR (IF);Se você quiser saber quem sou;18D;;
Angélica;3429;MAGIA;Sol de verão queimando no meu corpo;1B;;
Angélica;1820;VOU DE TÁXI;Pela janela do meu quarto;20A;;
Angélica;3993;CIÚME;Eu queria entender direito essa;3B;;
Angélica;4217;TERRA DO NUNCA;Lápis de cor, bicicleta, bombom;3G;;
Angélica;4361;MEU HERÓI;Ele é meu herói príncipe encantado...;4C;;
Angelo Máximo;6561;A PRIMEIRA NAMORADA;A chuva já molhou a rua…;6E;;
Ângelo Máximo;6456;DOMINGO FELIZ (BEAUTIFUL SUNDAY);Meu domingo alegre vai ser…;6B;;
Animals;4552;THE HOUSE OF THE RISING SUN;There is house in New Orleans;USAE;;
Animals;4623;DON'T LET ME BE MISUNDERSTOOD;Baby do you understand me now;USAE;;
Anísio Silva;7296;ALGUÉM ME DISSE;Alguém me disse que tu andas novament;10A;;
Anita Baker;9176;SWEET LOVE;With all my heart I love you baby…;INT02, 8E;;
Anitta;15192;SHOW DAS PODEROSAS;Prepara que agora é hora do show das ;24A;;
Anitta;15302;MENINA MÁ;Me olha e deseja que eu veja mas já digo;24D;;
Anitta;15307;NÃO PARA;Hoje cê pode chegar que eu tô querendo;24D;;
Anitta;15320;ZEN;Ohh ... Olha cê me faz tão bem só de;24D;;
Anitta;15341;MEIGA E ABUSADA;Eu posso conquistar tudo o que eu que;25A;;
Anitta;15603;BLÁ, BLÁ, BLÁ;Vou rebolar só porque você não gosta se;26D;;
Anitta;15707;NA BATIDA;Não dá mole vem pra cá não tem hora pra acabar;27B;;
Anitta;15748;RITMO PERFEITO;Sei lá o que será que você tem só sei que;27C;;
Anitta;15882;BANG;Vem na maldade com vontade;28C;;
Anitta;15883;DEIXA ELE SOFRER;Deixa ele chorar deixa ele chorar ;28C;;
Anitta;15991;NO MEU TALENTO;Chega fecha o closet na maldade que hoje eu vou;29A;;
Anitta;16254;PARADINHA;Yo te quiero ver enloquecer;30D;;
Anitta - Jhama;15923;ESSA MINA É LOUCA;Essa mina é louca quando eu tô bolado ;28D;;
Anitta - Maluma;16114;SIM OU NÃO;Se quiser jogar vem;29D;;
Anitta - Pabllo Vittar - Major Lazer;16250;SUA CARA;Você prepara mas não dispara;30D;;
Anitta - Projota;15649;COBERTOR;Eu sei que o tempo afastar a gente mas ;27A;;
Anitta - Vitin;16017;CRAVO E CANELA;Tão bela ela é linda de verdade;29B;;
Anjos de Resgate;7746;AMIGOS PELA FÉ;Quem me dará um ombro amigo;EVD;;
Ann Lewis;2258;GOODBYE MY LOVE;Goodbye my love kono machi kado de;JP5B;;
Ann Louise;5494;WOMAN;Tsuwamono domoga yume…;JP2;;
Anna Kendrick;19166;"CUPS (PITCH PERFECT'S ""WHEN I'M GONE"")";I got my ticket for the long way round;INT06A;;
Anne Duá;7156;INDECENTE;Não há santo que aguente;9E;;
Anne Murray ;9238;YOU NEEDED ME ; I cried a tear you wiped it dry ;INT02, A44;;
Annie Lennox;4745;NO MORE I LOVE YOU;I used to be lunatic from the gracious...;USAA;;
Annie Lennox & Al Green;9155;PUT A LITTLE LOVE IN YOUR HEART;Think of your fellow man lend him a help…;INT02, 8E;;
Anri;18229;SUMMER CANDLES;Chikasugite mienai kiseki ga aru ne;JP6A;;
Antônio C. E Jocafi;3549;VOCÊ ABUSOU;Você abusou tirou partido de mim;1F;;
Antônio Carlos E Jocafi;6986;TEIMOSA;Nas peripécias do amor teimosa…;8B;;
Antônio Carlos E Jocafi;6908;DESACATO;Inesquecível aquele amor que nem…;8C;;
Antônio Fagundes;4427;CANTO ALEGRETENSE;Não me perguntes onde fica o...;4E;;
Antonio Marcos;2934;SOU EU;Eu não quero nunca mais;22D;;
Antônio Marcos;1376;CARA A CARA;Cara a cara cara a cara cara a cara;17B;;
Antônio Marcos;1397;QUEM DÁ MAIS;Eu quero me ver;17B;;
Antônio Marcos;1618;ORAÇÃO DE UM JOVEM TRISTE;Eu tanto ouvia falar em ti;18D;;
Antônio Marcos;4376;SONHOS DE UM PALHAÇO;Vejam só que história boba eu tenho pra;4C;;
Antônio Marcos;6351;SE EU PUDESSE CONVERSAR COM DEUS;Eu hoje estou tão triste...;5G;;
Antônio Marcos;6939;MENINA DE TRANÇA;Desde os tempos de criança…;8A;;
Antônio Marcos;6919;EU TENHO UM AMOR MELHOR QUE O SEU;Todo o amor que eu lhe dei você…;8B;;
Antony e Gabriel - Munhoz e Mariano;16290;TE AMANDO MAIS QUE PINGA;Ela acorda cedo e eu meio-dia;31A;;
Anzen Chitai;5076;NATSUNO OWARINO HARMONY;Kyono sassayakito;JP1;;
Anzen Chitai;5094;TSUKINI NURETA FUTARI;Ienai ienai muneno sassayakiga;JP1;;
Anzen Chitai;5105;ANATANI;Tonight yoru ga;JP1;;
Anzen Chitai;5107;AOI HITOMI NO ERIS;Nakushita yume wa aoi umi no iru;JP1;;
Anzen Chitai;5128;KANASHIMINI SAYONARA;Nakanaide hitoride;JP1;;
Anzen Chitai;5186;WINE RED NO KOKORO;Motto katteni koishitari;JP1;;
Anzen Chitai;5280;FRIEND;Sayonara dake ienai mama...;JP1;;
Anzen Titai;2030;JIRETTAI;Wakarazuya no nureta kuchibiru de;JP4A;;
Aoe Mina;2218;KOHKOTSU NO BLUES;Onna no inochi wa koi dakara;JP5A;;
Aoe Mina;2248;AME NI SAKU SANA;Oyobanu koto to akiramemashita;JP5B;;
Aoki Koiti;5385;KAKI NOKI ZAKA NO IE;Haru niwa kaki no hana ga saki…;JP2;;
Aoyama Thelma;18304;MAMORITAI MONO;Yume ni miru sugata no yosa to bikei no;JP6C;;
Aoyama Thelma;18310;NANDO MO;Yume ni mita yo na kimi no yokogao;JP6C;;
Aoyama Thelma;18599;WASURENAI YO;Can I still believe in you;JP8B;;
Aoyama Thelma feat. SoulJa;18437;SOBA NI IRU NE;Anata no koto watashi wa ima demo;JP7B;;
Aphrodite’s Child;4759;RAIN AND TEARS;Rain and tears are the same...;USAH;;
Apocalipse 16;2498;SALMOS 23 E 91;O Senhor é meu pastor e nada me falta;EVAN04C;;
Aqua;4864;BARBIE GIRL;Hi ya Barbie Hi Ben...;INT01, USA2B;;
Aqua;19585;MY OH MY;My oh my do you wanna say goodbye;INT08C;;
Aqua Timez;18299;KETSUI NO ASA NI;Ore ga umareta ano mura wa umi yama;JP6C;;
Aqua Timez;18305;MAYONAKA NO ORCHESTRA;Moh ichido futari de utaimasen ka;JP6C;;
Ara Ketu;3586;NOSSA GUERRA SANTA;Esse nosso amor é uma loucura;1K;;
Ara Ketu;15366;CARTA BRANCA;Por amor eu faço mil loucuras se você;25B;;
Ara Ketu;3775;TENTAÇÃO;No meu corpo ficou a lembrança;2D;;
Ara Ketu;3893;PIPOCA;O Araketu o Araketu quando toca;2G;;
Ara Ketu;3978;TÁ NA CARA;Basta uma brisa da praia pra gente;3A;;
Ara Ketu;3990;AURORA;Como eu vou ficar, amor;3B;;
Ara Ketu;4041;MAL ACOSTUMADO;Amor de verdade eu só senti;3C;;
Ara Ketu;4323;MINHA RAZÃO DE VIVER;Como eu digo ao meu coração...;4B;;
Ara Ketu;6060;FACE OCULTA;Ô ô ié ié ié ié hum Sonhei com você...;4H;;
Ara Ketu;6204;AMANTES;Vou caminhando nas ruas pensando...;5D;;
Ara Ketu;6328;COBERTOR;Como é que você foi embora...;5G;;
Ara Ketu;6560;VOLTA;Amor minha maior felicidade…;6D;;
Ara Ketu;7260;TOMA LÁ, DÁ CÁ;Toma lá dá cá me dá meu troco;9F;;
Ara Ketu;3017;ARA KETU BOM DEMAIS;Não dá pra esconder;M;;
Ara Ketu;3389;SEMPRE SERÁ;Gosto de ficar te olhando;M;;
Arai Yumi;5106;ANO HI NI KAERITAI;Naki nagara tiguitta shashin o;JP1;;
Arashi;18344;ONE LOVE;Tsutaetakute tsutawaranakute;JP6D;;
Arashi;18378;LOVE SO SWEET;Wow ... Kagayaita no wa kagami demo;JP7A;;
Arashi;18393;TROUBLEMAKER;Iro toridori no mask kabutte itsuwari no;JP7A;;
Arashi;18422;LOVE RAINBOW;Kaze no tohru sakamichi komorebi no;JP7B;;
Arches;4654;SUGAR SUGAR;Sugar ah honey honey you are my;USAF;;
Arctic Monkeys;19031;FLUORESCENT ADOLESCENT;You used to get it in your fishnets;INT05A;;
Arctic Monkeys;19329;DO I WANNA KNOW;Have you got colour in your cheeks;INT07A;;
Aretha Franklin;2652;RESPECT;What you want baby I got it What you need;INT04D;;
Ariana Grande;19364;ONE LAST TIME;I was a liar I gave into the fire;INT07B;;
Ariana Grande - Zedd;19457;BREAK FREE;If you want it take it;INT7D;;
Arlindo Cruz;1412;HOJE TEM SAMBA;A minha vida anda triste tô brigado;17C;;
Arlindo Cruz;1619;PARA DE PARADINHA;Se liga no papo xará;18D;;
Arlindo Cruz;15541;MEU LUGAR;O meu lugar é caminho de Ogum e Iansã;26B;;
Arlindo Cruz;15598;VAI EMBORA TRISTEZA;O vento traz o cheiro da alegria e avisa que;26C;;
Arlindo Cruz - Maria Rita;16071;O QUE É O AMOR;Se perguntar o que é o amor pra mim;29C;;
Arlindo Farias;6447;BICHO DO MATO;Sou bicho feito do mato não tenho…;6B;;
Arlindo Neto;15523;BOM APRENDIZ;La laiá la...Vai e diz a ela que não dá ;26B;;
Armandinho;7472;URSINHO DE DORMIR;E hoje eu descobri o quanto te quero;10C;;
Armandinho;7365;FOLHA DE BANANEIRA;Fuma fuma fuma folha de bananeira;10D;;
Armandinho;7334;DESENHO DE DEUS;Quando Deus te desenhou Ele tava namo;10E;;
Armandinho;7665;PAULINHA;Eu conheci Paulinha numa noite de ve;11A;;
Armandinho;7700;SENTIMENTO;Sentimento;11A;;
Armandinho;7909;BALANÇO DA REDE;É no balanço da rede é no balanço do;12B;;
Armandinho;7922;CASINHA;Fazer uma casinha no alto do morro;12B;;
Armandinho;9531;SEMENTE;Semente semente semente semente seme;13C;;
Armandinho;9613;ANALUA;De repente uma nuvem encobriu a lua;14D;;
Armandinho;9843;MORENA NATIVA;Morena nativa desde criança;14D;;
Armandinho;1281;A FILHA;Quando me dá uma louca;16D;;
Armandinho;1322;BABILÔNIA ME CHAMA;Babilônia me chama;17A;;
Armandinho ;1019;OUTRA VIDA;Talvez não seja nessa vida ainda;15A;;
Armando Valsani;7005;CARUSO;Qui dove il mare luccica e tira forte il vento;INT01, ITA;;
Arnaldo Antunes;1591;INVEJOSO;O carro do vizinho é muito mais possa;18C;;
Arnaldo Antunes;15203;A CASA É SUA;Não me falta cadeira não me falta sofá;24B;;
Arnaldo Antunes;15845;DIZEM (QUEM ME DERA);O mundo está bem melhor do que há cem anos;28B;;
Arnaldo Antunes;16048;A NOSSA CASA;Na nossa casa amor-perfeito é mato;29C;;
Arnaldo Antunes;16297;PÕE FÉ QUE JÁ É;Se você não tem medo se você não tem;31A;;
Arnaldo Antunes e Nando Reis;9849;NÃO VOU ME ADAPTAR;Eu não caibo mais nas roupas que eu ca;14E;;
Arriba Saia;6614;LIBERA O TÓIM;Sequestraram o Toim sequestraram…;6F;;
Art Garfunkel;9119;I ONLY HAVE EYES FOR YOU;Are the stars out tonight…;INT02, 8E;;
Art Popular;3582;NANI;Quantas vezes Nani tantas vezes Nani;1C;;
Art Popular;3306;BOM BOCADO;Como um bom bocado pra te devorar;1D;;
